SourceFile,ResultFile,CWE,SourceLines,ResultLines,CompressionRatio,IsEmptyResult
CWE-121_cpdb-libs_CVE-2023-34095.txt,CWE-121_cpdb-libs_CVE-2023-34095.txt_result.txt,CWE121,202,3,0.0149,False
CWE-121_gpac_CVE-2023-2837.txt,CWE-121_gpac_CVE-2023-2837.txt_result.txt,CWE121,175,21,0.12,False
CWE-121_pjproject_CVE-2022-24764.txt,CWE-121_pjproject_CVE-2022-24764.txt_result.txt,CWE121,4,0,,True
CWE-190_FreeRDP_CVE-2024-22211.txt,CWE-190_FreeRDP_CVE-2024-22211.txt_result.txt,CWE190,2,2,1.0,False
CWE-190_ImageMagick_CVE-2015-8895.txt,CWE-190_ImageMagick_CVE-2015-8895.txt_result.txt,CWE190,244,8,0.0328,False
CWE-190_Little-CMS_CVE-2018-16435.txt,CWE-190_Little-CMS_CVE-2018-16435.txt_result.txt,CWE190,3,3,1.0,False
CWE-190_android_security_CVE-2017-0576.txt,CWE-190_android_security_CVE-2017-0576.txt_result.txt,CWE190,11,11,1.0,False
CWE-190_bluez_CVE-2022-0204.txt,CWE-190_bluez_CVE-2022-0204.txt_result.txt,CWE190,12,4,0.3333,False
CWE-190_cpython_CVE-2018-20406.txt,CWE-190_cpython_CVE-2018-20406.txt_result.txt,CWE190,18,2,0.1111,False
CWE-190_gpac_CVE-2021-30014.txt,CWE-190_gpac_CVE-2021-30014.txt_result.txt,CWE190,5,4,0.8,False
CWE-190_gpac_CVE-2021-30022.txt,CWE-190_gpac_CVE-2021-30022.txt_result.txt,CWE190,5,2,0.4,False
CWE-190_jasper_CVE-2016-9387.txt,CWE-190_jasper_CVE-2016-9387.txt_result.txt,CWE190,6,4,0.6667,False
CWE-190_klibc_CVE-2021-31873.txt,CWE-190_klibc_CVE-2021-31873.txt_result.txt,CWE190,23,8,0.3478,False
CWE-190_libarchive_CVE-2016-4300.txt,CWE-190_libarchive_CVE-2016-4300.txt_result.txt,CWE190,78,13,0.1667,False
CWE-190_linux_CVE-2012-0044.txt,CWE-190_linux_CVE-2012-0044.txt_result.txt,CWE190,12,0,,True
CWE-190_linux_CVE-2012-6701.txt,CWE-190_linux_CVE-2012-6701.txt_result.txt,CWE190,17,0,,True
CWE-190_linux_CVE-2012-6703.txt,CWE-190_linux_CVE-2012-6703.txt_result.txt,CWE190,18,7,0.3889,False
CWE-190_linux_CVE-2014-3144.txt,CWE-190_linux_CVE-2014-3144.txt_result.txt,CWE190,5,5,1.0,False
CWE-190_linux_CVE-2014-4655.txt,CWE-190_linux_CVE-2014-4655.txt_result.txt,CWE190,50,3,0.06,False
