SourceFile,ResultFile,CWE,SourceLines,ResultLines,CompressionRatio,IsEmptyResult,,CWE-190_FreeRDP_CVE-2024-22211.txt,CWE-190_FreeRDP_CVE-2024-22211.txt_result.txt,CWE190,2,2,0.0328,FALSE,,,¼ò»¯±ÈÂÊ,CWE190,CWE190,CWE119-1,CWE119
CWE-119_DBD-mysql_CVE-2016-1246.txt,CWE-119_DBD-mysql_CVE-2016-1246.txt_result.txt,CWE119,19,7,0.0172,FALSE,,CWE-190_ImageMagick_CVE-2015-8895.txt,CWE-190_ImageMagick_CVE-2015-8895.txt_result.txt,CWE190,244,8,0.0476,FALSE,,,0.1,4,0.2,8,0.177777778
CWE-119_Espruino_CVE-2018-11595.txt,CWE-119_Espruino_CVE-2018-11595.txt_result.txt,CWE119,14,11,0.0189,FALSE,,CWE-190_Little-CMS_CVE-2018-16435.txt,CWE-190_Little-CMS_CVE-2018-16435.txt_result.txt,CWE190,3,3,0.06,FALSE,,,0.2,3,0.15,12,0.266666667
CWE-119_FFmpeg_CVE-2013-4263.txt,CWE-119_FFmpeg_CVE-2013-4263.txt_result.txt,CWE119,11,0,0.0273,TRUE,,CWE-190_android_security_CVE-2017-0576.txt,CWE-190_android_security_CVE-2017-0576.txt_result.txt,CWE190,11,11,0.1111,FALSE,,,0.3,2,0.1,9,0.2
CWE-119_FFmpeg_CVE-2013-7018.txt,CWE-119_FFmpeg_CVE-2013-7018.txt_result.txt,CWE119,8,0,0.0476,TRUE,,CWE-190_bluez_CVE-2022-0204.txt,CWE-190_bluez_CVE-2022-0204.txt_result.txt,CWE190,12,4,0.1346,FALSE,,,0.4,4,0.2,1,0.022222222
CWE-119_FFmpeg_CVE-2013-7020.txt,CWE-119_FFmpeg_CVE-2013-7020.txt_result.txt,CWE119,9,2,0.0488,FALSE,,CWE-190_cpython_CVE-2018-20406.txt,CWE-190_cpython_CVE-2018-20406.txt_result.txt,CWE190,18,2,0.1667,FALSE,,,0.5,0,0,6,0.133333333
CWE-119_FFmpeg_CVE-2013-7022.txt,CWE-119_FFmpeg_CVE-2013-7022.txt_result.txt,CWE119,2,2,0.0645,FALSE,,CWE-190_gpac_CVE-2021-30014.txt,CWE-190_gpac_CVE-2021-30014.txt_result.txt,CWE190,5,4,0.2024,FALSE,,,0.6,1,0.05,1,0.022222222
CWE-119_FFmpeg_CVE-2016-3062.txt,CWE-119_FFmpeg_CVE-2016-3062.txt_result.txt,CWE119,7,2,0.0909,FALSE,,CWE-190_gpac_CVE-2021-30022.txt,CWE-190_gpac_CVE-2021-30022.txt_result.txt,CWE190,5,2,0.2222,FALSE,,,0.7,0,0,1,0.022222222
CWE-119_FFmpeg_CVE-2017-14767.txt,CWE-119_FFmpeg_CVE-2017-14767.txt_result.txt,CWE119,10,2,0.1034,FALSE,,CWE-190_jasper_CVE-2016-9387.txt,CWE-190_jasper_CVE-2016-9387.txt_result.txt,CWE190,6,4,0.2857,FALSE,,,0.8,1,0.05,1,0.022222222
CWE-119_FFmpeg_CVE-2017-9990.txt,CWE-119_FFmpeg_CVE-2017-9990.txt_result.txt,CWE119,60,8,0.1119,FALSE,,CWE-190_klibc_CVE-2021-31873.txt,CWE-190_klibc_CVE-2021-31873.txt_result.txt,CWE190,23,8,0.3333,FALSE,,,0.9,0,0,1,0.022222222
CWE-119_FFmpeg_CVE-2017-9995.txt,CWE-119_FFmpeg_CVE-2017-9995.txt_result.txt,CWE119,41,2,0.1143,FALSE,,CWE-190_libarchive_CVE-2016-4300.txt,CWE-190_libarchive_CVE-2016-4300.txt_result.txt,CWE190,78,13,0.3478,FALSE,,,1,5,0.25,5,0.111111111
